Site,Date,Observer,Transect,Heading,Quad,Taxa,Size.mm 
Harris,8/3/16,LB,1,120,9,Margarites,11
Harris,8/3/16,LB,1,120,9,Keyhole.limpet,23
Harris,8/3/16,LB,1,120,9,Keyhole.limpet,24
Harris,8/3/16,LB,1,120,9,Acmaea.mitra,15
Harris,8/3/16,LB,1,120,9,Acmaea.mitra,24
Harris,8/3/16,LB,1,120,9,Strongylocentrotus franciscanus,15
Harris,8/3/16,LB,1,120,9,Strongylocentrotus franciscanus,11
Harris,8/3/16,LB,1,120,9,Strongylocentrotus franciscanus,12
Harris,8/3/16,LB,1,120,9,Strongylocentrotus franciscanus,6
Harris,8/3/16,LB,1,120,10,Strongylocentrotus droebachiensis,34
Harris,8/3/16,LB,1,120,10,Keyhole.limpet,20
Harris,8/3/16,LB,1,120,10,Acmaea.mitra,14
Harris,8/3/16,LB,1,120,10,Acmaea.mitra,8
Harris,8/3/16,LB,1,120,10,Acmaea.mitra,19
Harris,8/3/16,LB,1,120,10,Chiton,13
Harris,8/3/16,LB,1,120,11,Margarites,9
Harris,8/3/16,LB,1,120,11,Keyhole.limpet,9
Harris,8/3/16,LB,1,120,11,Acmaea.mitra,13
Harris,8/3/16,LB,1,120,11,Chiton,18
Harris,8/3/16,LB,1,120,11,Chiton,15
Harris,8/3/16,LB,1,120,11,Chiton,19
Harris,8/3/16,LB,1,120,11,Chiton,9
Harris,8/3/16,LB,1,120,12,Tegula brunnea,22
Harris,8/3/16,LB,1,120,12,Acmaea.mitra,12
Harris,8/3/16,LB,1,120,12,Acmaea.mitra,8
Harris,8/3/16,LB,1,120,12,Acmaea.mitra,14
Harris,8/3/16,LB,1,120,12,Calliostoma.ligatum,11
Harris,8/3/16,LB,1,120,12,Pinto.abalone,26
Harris,8/3/16,LB,1,120,13,Tegula pulligo,19
Harris,8/3/16,LB,1,120,13,Margarites,5
Harris,8/3/16,LB,1,120,13,Margarites,8
Harris,8/3/16,LB,1,120,13,Margarites,6
Harris,8/3/16,LB,1,120,13,Margarites,7
Harris,8/3/16,LB,1,120,13,Margarites,8
Harris,8/3/16,LB,1,120,13,Margarites,6
Harris,8/3/16,LB,1,120,13,Margarites,11
Harris,8/3/16,LB,1,120,13,Acmaea.mitra,9
Harris,8/3/16,LB,1,120,13,Acmaea.mitra,9
Harris,8/3/16,LB,1,120,13,Acmaea.mitra,11
Harris,8/3/16,LB,1,120,13,Chiton,25
Harris,8/3/16,LB,1,120,13,Calliostoma.ligatum,11
Harris,8/3/16,LB,1,120,13,Calliostoma.ligatum,12
Harris,8/3/16,LB,1,120,13,Calliostoma.ligatum,7
Harris,8/3/16,LB,1,120,13,Calliostoma.ligatum,8
Harris,8/3/16,LB,1,120,13,Calliostoma.ligatum,9
Harris,8/3/16,LB,1,120,13,Keyhole.limpet,19
Harris,8/3/16,LB,1,120,14,Strongylocentrotus droebachiensis,27
Harris,8/3/16,LB,1,120,14,Strongylocentrotus droebachiensis,26
Harris,8/3/16,LB,1,120,14,Strongylocentrotus droebachiensis,15
Harris,8/3/16,LB,1,120,14,Margarites,8
Harris,8/3/16,LB,1,120,14,Margarites,4
Harris,8/3/16,LB,1,120,14,Pinto.abalone,8
Harris,8/3/16,LB,1,120,14,Fissurella,12
Harris,8/3/16,LB,1,120,15,Margarites,4
Harris,8/3/16,LB,1,120,15,Chiton,12
Harris,8/3/16,LB,1,120,15,Strongylocentrotus droebachiensis,25
Harris,8/2/16,LB,2,300,1,Acmaea.mitra,14
Harris,8/2/16,LB,2,300,1,Acmaea.mitra,13
Harris,8/2/16,LB,2,300,1,Boring.limpet,6
Harris,8/2/16,LB,2,300,1,Boring.limpet,6
Harris,8/2/16,LB,2,300,1,Margarites,9
Harris,8/2/16,LB,2,300,1,Margarites,6
Harris,8/2/16,LB,2,300,1,Margarites,11
Harris,8/2/16,LB,2,300,1,Margarites,8
Harris,8/2/16,LB,2,300,1,Margarites,5
Harris,8/2/16,LB,2,300,1,Margarites,10
Harris,8/2/16,LB,2,300,1,Strongylocentrotus droebachiensis,23
Harris,8/2/16,LB,2,300,1,Strongylocentrotus droebachiensis,14
Harris,8/2/16,LB,2,300,1,Strongylocentrotus droebachiensis,14
Harris,8/2/16,LB,2,300,2,Strongylocentrotus droebachiensis,38
Harris,8/2/16,LB,2,300,2,Strongylocentrotus droebachiensis,28
Harris,8/2/16,LB,2,300,2,Strongylocentrotus droebachiensis,25
Harris,8/2/16,LB,2,300,2,Strongylocentrotus droebachiensis,20
Harris,8/2/16,LB,2,300,2,Strongylocentrotus droebachiensis,35
Harris,8/2/16,LB,2,300,2,Tegula pulligo,17
Harris,8/2/16,LB,2,300,2,Margarites,7
Harris,8/2/16,LB,2,300,2,Margarites,8
Harris,8/2/16,LB,2,300,2,Margarites,7
Harris,8/2/16,LB,2,300,2,Margarites,6
Harris,8/2/16,LB,2,300,2,Margarites,6
Harris,8/2/16,LB,2,300,2,Margarites,6
Harris,8/2/16,LB,2,300,2,Margarites,6
Harris,8/2/16,LB,2,300,2,Margarites,10
Harris,8/2/16,LB,2,300,2,Acmaea.mitra,14
Harris,8/2/16,LB,2,300,2,Boring.limpet,12
Harris,8/2/16,LB,2,300,2,Calliostoma.ligatum,9
Harris,8/2/16,LB,2,300,2,Calliostoma.ligatum,13
Harris,8/2/16,LB,2,300,3,Strongylocentrotus droebachiensis,25
Harris,8/2/16,LB,2,300,3,Strongylocentrotus droebachiensis,36
Harris,8/2/16,LB,2,300,3,Tegula pulligo,20
Harris,8/2/16,LB,2,300,3,Chiton,16
Harris,8/2/16,LB,2,300,3,Chiton,12
Harris,8/2/16,LB,2,300,3,Chiton,14
Harris,8/2/16,LB,2,300,3,Chiton,14
Harris,8/2/16,LB,2,300,3,Chiton,10
Harris,8/2/16,LB,2,300,3,Chiton,9
Harris,8/2/16,LB,2,300,3,Margarites,11
Harris,8/2/16,LB,2,300,3,Margarites,12
Harris,8/2/16,LB,2,300,3,Strongylocentrotus franciscanus,50
Harris,8/2/16,LB,2,300,4,Strongylocentrotus droebachiensis,20
Harris,8/2/16,LB,2,300,4,Strongylocentrotus droebachiensis,12
Harris,8/2/16,LB,2,300,4,Strongylocentrotus droebachiensis,19
Harris,8/2/16,LB,2,300,4,Tegula brunnea,24
Harris,8/2/16,LB,2,300,4,Tegula pulligo,12
Harris,8/2/16,LB,2,300,4,Acmaea.mitra,16
Harris,8/2/16,LB,2,300,4,Acmaea.mitra,16
Harris,8/2/16,LB,2,300,4,Acmaea.mitra,15
Harris,8/2/16,LB,2,300,4,Keyhole.limpet,20
Harris,8/2/16,LB,2,300,4,Chiton,10
Harris,8/2/16,LB,2,300,4,Margarites,7
Harris,8/2/16,LB,2,300,5,Strongylocentrotus droebachiensis,28
Harris,8/2/16,LB,2,300,5,Strongylocentrotus droebachiensis,33
Harris,8/2/16,LB,2,300,5,Tegula pulligo,22
Harris,8/2/16,LB,2,300,5,Acmaea.mitra,12
Harris,8/2/16,LB,2,300,5,Acmaea.mitra,10
Harris,8/2/16,LB,2,300,5,Acmaea.mitra,14
Harris,8/2/16,LB,2,300,5,Acmaea.mitra,14
Harris,8/2/16,LB,2,300,5,Acmaea.mitra,8
Harris,8/2/16,LB,2,300,5,Boring.limpet,5
Harris,8/2/16,LB,2,300,5,Keyhole.limpet,18
Harris,8/2/16,LB,2,300,5,Chiton,16
Harris,8/2/16,LB,2,300,5,Chiton,16
Harris,8/2/16,LB,2,300,5,Chiton,24
Harris,8/2/16,LB,2,300,5,Margarites,6
Harris,8/2/16,LB,2,300,5,Pinto.abalone,24
Harris,8/2/16,LB,2,300,5,Pinto.abalone,3
Harris,8/2/16,LB,2,300,6,Strongylocentrotus droebachiensis,30
Harris,8/2/16,LB,2,300,6,Tegula brunnea,21
Harris,8/2/16,LB,2,300,6,Margarites,6
Harris,8/2/16,LB,2,300,6,Margarites,10
Harris,8/2/16,LB,2,300,6,Margarites,5
Harris,8/2/16,LB,2,300,6,Margarites,12
Harris,8/2/16,LB,2,300,6,Margarites,6
Harris,8/2/16,LB,2,300,6,Boring.limpet,11
Harris,8/2/16,LB,2,300,6,Boring.limpet,8
Harris,8/2/16,LB,2,300,6,Boring.limpet,8
Harris,8/2/16,LB,2,300,6,Boring.limpet,8
Harris,8/2/16,LB,2,300,6,Chiton,25
Harris,8/2/16,LB,2,300,7,Strongylocentrotus droebachiensis,32
Harris,8/2/16,LB,2,300,7,Margarites,10
Harris,8/2/16,LB,2,300,7,Acmaea.mitra,15
Harris,8/2/16,LB,2,300,7,Acmaea.mitra,12
Harris,8/2/16,LB,2,300,8,Acmaea.mitra,11
Harris,8/2/16,LB,2,300,8,Limpet.long.flat,14
Harris,8/2/16,LB,2,300,9,Tegula pulligo,12
Harris,8/2/16,LB,2,300,9,Tegula pulligo,21
Harris,8/2/16,LB,2,300,9,Tegula pulligo,11
Harris,8/2/16,LB,2,300,9,Acmaea.mitra,16
Harris,8/2/16,LB,2,300,9,Acmaea.mitra,11
Harris,8/2/16,LB,2,300,9,Acmaea.mitra,13
Harris,8/2/16,LB,2,300,9,Chiton,19
Harris,8/2/16,LB,2,300,9,Chiton,6
Harris,8/2/16,LB,2,300,10,Tegula pulligo,16
Harris,8/2/16,LB,2,300,10,Margarites,8
Harris,8/2/16,LB,2,300,10,Chiton,21
Harris,8/2/16,LB,2,300,11,Tegula pulligo,20
Harris,8/2/16,LB,2,300,11,Tegula pulligo,15
Harris,8/2/16,LB,2,300,11,Acmaea.mitra,10
Harris,8/2/16,LB,2,300,11,Calliostoma.ligatum,12
Harris,8/2/16,LB,2,300,11,Calliostoma.ligatum,9
Harris,8/2/16,LB,2,300,11,Calliostoma.ligatum,13
Harris,8/2/16,LB,2,300,12,Tegula brunnea,18
Harris,8/2/16,LB,2,300,12,Margarites,9
Harris,8/2/16,LB,2,300,12,Margarites,10
Harris,8/2/16,LB,2,300,12,Acmaea.mitra,14
Harris,8/2/16,LB,2,300,12,Acmaea.mitra,12
Harris,8/2/16,LB,2,300,12,Acmaea.mitra,14
Harris,8/2/16,LB,2,300,12,Keyhole.limpet,4
Harris,8/2/16,LB,2,300,12,Keyhole.limpet,24
Harris,8/2/16,LB,2,300,12,Keyhole.limpet,4
Harris,8/2/16,LB,2,300,12,Keyhole.limpet,35
Harris,8/2/16,LB,2,300,12,Strongylocentrotus droebachiensis,30
Harris,8/2/16,LB,2,300,12,Strongylocentrotus droebachiensis,14
Harris,8/2/16,LB,2,300,12,Strongylocentrotus droebachiensis,15
Harris,8/2/16,LB,2,300,12,Strongylocentrotus droebachiensis,19
Harris,8/2/16,LB,2,300,15,Margarites,5
Harris,8/2/16,LB,2,300,15,Calliostoma.ligatum,15
Harris,8/2/16,LB,2,300,15,Strongylocentrotus droebachiensis,30
Harris,8/2/16,LB,2,300,15,Strongylocentrotus droebachiensis,33
Harris,8/2/16,LB,2,300,15,Strongylocentrotus droebachiensis,11
Harris,8/2/16,LB,2,300,15,Acmaea.mitra,9
Harris,8/2/16,LB,2,300,15,Acmaea.mitra,13
Harris,8/2/16,LB,2,300,15,Limpet.long.flat,6
Harris,8/2/16,LB,2,300,15,Calliostoma.ligatum,14
Harris,8/2/16,LB,2,300,13,Tegula pulligo,15
Harris,8/2/16,LB,2,300,13,Margarites,10
Harris,8/2/16,LB,2,300,13,Margarites,5
Harris,8/2/16,LB,2,300,13,Margarites,5
Harris,8/2/16,LB,2,300,13,Acmaea.mitra,16
Harris,8/2/16,LB,2,300,13,Acmaea.mitra,13
Harris,8/2/16,LB,2,300,13,Acmaea.mitra,16
Harris,8/2/16,LB,2,300,14,Tegula pulligo,18
Harris,8/2/16,LB,2,300,14,Margarites,10
Harris,8/2/16,LB,2,300,14,Margarites,9
Harris,8/2/16,LB,2,300,14,Margarites,10
Harris,8/2/16,LB,2,300,14,Margarites,9
Harris,8/2/16,LB,2,300,14,Acmaea.mitra,13
Harris,8/2/16,LB,2,300,14,Acmaea.mitra,9
Harris,8/2/16,LB,2,300,14,Acmaea.mitra,11
Harris,8/2/16,LB,2,300,14,Chiton,19
Harris,8/2/16,LB,2,300,14,Chiton,8
Harris,8/2/16,LB,2,300,14,Limpet.long.flat,13
Harris,8/2/16,LB,2,300,14,Limpet.long.flat,16
Harris,8/2/16,LB,2,300,14,Limpet.long.flat,11
Harris,8/2/16,LB,2,300,14,Limpet.long.flat,14
Harris,8/2/16,LB,2,300,14,Limpet.long.flat,8
Breast,8/1/16,KK,1,110,1,Strongylocentrotus franciscanus,35
Breast,8/1/16,KK,1,110,1,Tegula brunnea,20
Breast,8/1/16,KK,1,110,1,Keyhole.limpet,18
Breast,8/1/16,KK,1,110,2,Calliostoma.ligatum,8
Breast,8/1/16,KK,1,110,2,Chiton,12
Breast,8/1/16,KK,1,110,2,Chiton,14
Breast,8/1/16,KK,1,110,2,Chiton,12
Breast,8/1/16,KK,1,110,2,Chiton,13
Breast,8/1/16,KK,1,110,2,Chiton,18
Breast,8/1/16,KK,1,110,2,Keyhole.limpet,17
Breast,8/1/16,KK,1,110,2,Keyhole.limpet,16
Breast,8/1/16,KK,1,110,2,Limpet.long.flat,18
Breast,8/1/16,KK,1,110,2,Limpet.long.flat,12
Breast,8/1/16,KK,1,110,2,Limpet.long.flat,16
Breast,8/1/16,KK,1,110,3,Tegula pulligo,11
Breast,8/1/16,KK,1,110,3,Tegula pulligo,11
Breast,8/1/16,KK,1,110,3,Acmaea.mitra,14
Breast,8/1/16,KK,1,110,3,Chiton,25
Breast,8/1/16,KK,1,110,3,Chiton,16
Breast,8/1/16,KK,1,110,3,Chiton,11
Breast,8/1/16,KK,1,110,3,Margarites,8
Breast,8/1/16,KK,1,110,3,Littorine,6
Breast,8/1/16,KK,1,110,4,Tegula brunnea,10
Breast,8/1/16,KK,1,110,4,Calliostoma.ligatum,10
Breast,8/1/16,KK,1,110,4,Chiton,16
Breast,8/1/16,KK,1,110,4,Chiton,9
Breast,8/1/16,KK,1,110,4,Chiton,9
Breast,8/1/16,KK,1,110,4,Margarites,11
Breast,8/1/16,KK,1,110,4,Margarites,9
Breast,8/1/16,KK,1,110,4,Margarites,7
Breast,8/1/16,KK,1,110,4,Pinto.abalone,70
Breast,8/1/16,KK,1,110,5,Acmaea.mitra,11
Breast,8/1/16,KK,1,110,5,Chiton,12
Breast,8/1/16,KK,1,110,5,Limpet.long.flat,9
Breast,8/1/16,KK,1,110,6,Tegula brunnea,24
Breast,8/1/16,KK,1,110,6,Calliostoma.ligatum,8
Breast,8/1/16,KK,1,110,6,Calliostoma.ligatum,15
Breast,8/1/16,KK,1,110,6,Calliostoma.ligatum,12
Breast,8/1/16,KK,1,110,6,Calliostoma.ligatum,12
Breast,8/1/16,KK,1,110,6,Calliostoma.ligatum,14
Breast,8/1/16,KK,1,110,6,Chiton,10
Breast,8/1/16,KK,1,110,6,Chiton,17
Breast,8/1/16,KK,1,110,6,Limpet.long.flat,8
Breast,8/1/16,KK,1,110,6,Limpet.long.flat,14
Breast,8/1/16,KK,1,110,6,Margarites,11
Breast,8/1/16,KK,1,110,7,Tegula brunnea,10
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,6
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,5
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,7
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,5
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,6
Breast,8/1/16,KK,1,110,7,Acmaea.mitra,7
Breast,8/1/16,KK,1,110,7,Acmaea.mitra,5
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,21
Breast,8/1/16,KK,1,110,7,Calliostoma.ligatum,22
Breast,8/1/16,KK,1,110,8,Calliostoma.ligatum,4
Breast,8/1/16,KK,1,110,8,Acmaea.mitra,6
Breast,8/1/16,KK,1,110,9,Littorine,7
Breast,8/1/16,LB,1,110,10,Tegula brunnea,9
Breast,8/1/16,LB,1,110,10,Tegula brunnea,10
Breast,8/1/16,LB,1,110,10,Boring.limpet,13
Breast,8/1/16,LB,1,110,10,Acmaea.mitra,16
Breast,8/1/16,LB,1,110,10,Chiton,7
Breast,8/1/16,LB,1,110,10,Chiton,11
Breast,8/1/16,LB,1,110,10,Calliostoma.ligatum,10
Breast,8/1/16,LB,1,110,10,Calliostoma.ligatum,7
Breast,8/1/16,LB,1,110,11,Tegula brunnea,24
Breast,8/1/16,LB,1,110,11,Tegula brunnea,20
Breast,8/1/16,LB,1,110,11,Tegula brunnea,10
Breast,8/1/16,LB,1,110,11,Tegula brunnea,21
Breast,8/1/16,LB,1,110,11,Tegula brunnea,23
Breast,8/1/16,LB,1,110,11,Tegula brunnea,10
Breast,8/1/16,LB,1,110,11,Tegula pulligo,12
Breast,8/1/16,LB,1,110,11,Boring.limpet,16
Breast,8/1/16,LB,1,110,11,Boring.limpet,21
Breast,8/1/16,LB,1,110,11,Boring.limpet,8
Breast,8/1/16,LB,1,110,11,Chiton,30
Breast,8/1/16,LB,1,110,11,Chiton,9
Breast,8/1/16,LB,1,110,11,Chiton,10
Breast,8/1/16,LB,1,110,11,Chiton,14
Breast,8/1/16,LB,1,110,11,Calliostoma.ligatum,11
Breast,8/1/16,LB,1,110,11,Calliostoma.ligatum,8
Breast,8/1/16,LB,1,110,12,Tegula brunnea,24
Breast,8/1/16,LB,1,110,12,Boring.limpet,13
Breast,8/1/16,LB,1,110,12,Calliostoma.ligatum,11
Breast,8/1/16,LB,1,110,12,Margarites,12
Breast,8/1/16,LB,1,110,12,Margarites,10
Breast,8/1/16,LB,1,110,12,Margarites,10
Breast,8/1/16,LB,1,110,12,Margarites,9
Breast,8/1/16,LB,1,110,12,Pinto.abalone,20
Breast,8/1/16,LB,1,110,13,Tegula pulligo,15
Breast,8/1/16,LB,1,110,13,Acmaea.mitra,7
Breast,8/1/16,LB,1,110,13,Acmaea.mitra,12
Breast,8/1/16,LB,1,110,13,Acmaea.mitra,11
Breast,8/1/16,LB,1,110,13,Acmaea.mitra,10
Breast,8/1/16,LB,1,110,13,Chiton,16
Breast,8/1/16,LB,1,110,13,Chiton,10
Breast,8/1/16,LB,1,110,13,Pinto.abalone,16
Breast,8/1/16,LB,1,110,14,Tegula brunnea,22
Breast,8/1/16,LB,1,110,14,Tegula brunnea,22
Breast,8/1/16,LB,1,110,14,Calliostoma.ligatum,15
Breast,8/1/16,LB,1,110,14,Calliostoma.ligatum,6
Breast,8/1/16,LB,1,110,14,Calliostoma.ligatum,4
Breast,8/1/16,LB,1,110,14,Calliostoma.ligatum,8
Breast,8/1/16,LB,1,110,14,Margarites,10
Breast,8/1/16,LB,1,110,14,Margarites,9
Breast,8/1/16,LB,1,110,14,Margarites,8
Breast,8/1/16,LB,1,110,14,Margarites,8
Breast,8/1/16,LB,1,110,14,Margarites,9
Breast,8/1/16,LB,1,110,15,Tegula brunnea,26
Breast,8/1/16,LB,1,110,15,Boring.limpet,12
Breast,8/1/16,LB,1,110,15,Boring.limpet,17
Breast,8/1/16,LB,1,110,15,Chiton,10
Breast,8/1/16,LB,1,110,15,Margarites,9
Breast,8/1/16,LB,1,110,15,Pinto.abalone,48
Breast,8/1/16,LB,1,110,16,Tegula brunnea,18
Breast,8/1/16,LB,1,110,16,Tegula brunnea,18
Breast,8/1/16,LB,1,110,16,Tegula pulligo,16
Breast,8/1/16,LB,1,110,16,Boring.limpet,12
Breast,8/1/16,LB,1,110,16,Calliostoma.ligatum,10
Breast,8/1/16,LB,1,110,16,Calliostoma.ligatum,6
Breast,8/1/16,LB,1,110,16,Margarites,9
Breast,8/1/16,LB,1,110,16,Margarites,9
Breast,8/1/16,LB,1,110,16,Margarites,10
Breast,8/1/16,LB,2,330,1,Margarites,8
Breast,8/1/16,LB,2,330,1,Margarites,11
Breast,8/1/16,LB,2,330,1,Margarites,8
Breast,8/1/16,LB,2,330,1,Margarites,8
Breast,8/1/16,LB,2,330,1,Acmaea.mitra,7
Breast,8/1/16,LB,2,330,1,Acmaea.mitra,16
Breast,8/1/16,LB,2,330,2,Margarites,12
Breast,8/1/16,LB,2,330,2,Margarites,12
Breast,8/1/16,LB,2,330,2,Margarites,7
Breast,8/1/16,LB,2,330,2,Chiton,9
Breast,8/1/16,LB,2,330,2,Calliostoma.ligatum,15
Breast,8/1/16,LB,2,330,2,Calliostoma.ligatum,9
Breast,8/1/16,LB,2,330,3,Tegula pulligo,18
Breast,8/1/16,LB,2,330,3,Tegula pulligo,9
Breast,8/1/16,LB,2,330,3,Margarites,8
Breast,8/1/16,LB,2,330,3,Margarites,10
Breast,8/1/16,LB,2,330,3,Margarites,7
Breast,8/1/16,LB,2,330,3,Boring.limpet,7
Breast,8/1/16,LB,2,330,4,allgrazers,0
Breast,8/1/16,LB,2,330,5,Tegula brunnea,25
Breast,8/1/16,LB,2,330,5,Tegula pulligo,14
Breast,8/1/16,LB,2,330,5,Tegula pulligo,9
Breast,8/1/16,LB,2,330,5,Margarites,9
Breast,8/1/16,LB,2,330,5,Margarites,6
Breast,8/1/16,LB,2,330,5,Margarites,6
Breast,8/1/16,LB,2,330,6,Margarites,7
Breast,8/1/16,LB,2,330,6,Margarites,7
Breast,8/1/16,LB,2,330,6,Margarites,8
Breast,8/1/16,LB,2,330,6,Margarites,7
Breast,8/1/16,LB,2,330,6,Acmaea.mitra,15
Breast,8/1/16,LB,2,330,6,Acmaea.mitra,13
Breast,8/1/16,LB,2,330,7,Margarites,7
Breast,8/1/16,LB,2,330,7,Margarites,8
Breast,8/1/16,LB,2,330,7,Margarites,10
Breast,8/1/16,LB,2,330,8,Tegula pulligo,12
Breast,8/1/16,LB,2,330,8,Tegula pulligo,18
Breast,8/1/16,LB,2,330,8,Tegula pulligo,15
Breast,8/1/16,LB,2,330,8,Tegula pulligo,9
Breast,8/1/16,LB,2,330,8,Tegula pulligo,7
Breast,8/1/16,LB,2,330,8,Tegula pulligo,10
Breast,8/1/16,LB,2,330,8,Margarites,10
Breast,8/1/16,LB,2,330,8,Margarites,9
Breast,8/1/16,LB,2,330,8,Margarites,7
Breast,8/1/16,LB,2,330,8,Margarites,8
Breast,8/1/16,LB,2,330,8,Acmaea.mitra,11
Breast,8/1/16,LB,2,330,9,Tegula pulligo,10
Breast,8/1/16,LB,2,330,9,Tegula brunnea,22
Breast,8/1/16,LB,2,330,9,Margarites,5
Breast,8/1/16,LB,2,330,9,Margarites,5
Breast,8/1/16,LB,2,330,9,Tegula pulligo,28
Breast,8/1/16,LB,2,330,9,Acmaea.mitra,12
Breast,8/1/16,LB,2,330,9,Margarites,7
Breast,8/1/16,LB,2,330,9,Fissurella,11
Breast,8/1/16,LB,2,330,9,Limpet.varigated,8
Breast,8/1/16,LB,2,330,10,Tegula brunnea,19
Breast,8/1/16,LB,2,330,10,Calliostoma.ligatum,15
Breast,8/1/16,LB,2,330,10,Chiton,9
Breast,8/1/16,LB,2,330,10,Chiton,11
Breast,8/1/16,LB,2,330,10,Chiton,11
Breast,8/1/16,LB,2,330,10,Margarites,6
Breast,8/1/16,LB,2,330,10,Margarites,7
Breast,8/1/16,LB,2,330,11,Tegula pulligo,13
Breast,8/1/16,LB,2,330,11,Acmaea.mitra,11
